"","Longitude_dd","Latitude_dd","Health_Board","Site"
"1",4.54263166292659,52.1565504618318,"Highland","Allanfearn"
"2",1.74967126972386,52.2343109500815,"Lanarkshire","Allers"
"3",1.74967126972386,52.2343109500815,"Lanarkshire","Allers - St Leonards"
"4",2.29037249543354,52.4180227525689,"Forth Valley","Alloa"
"5",4.85055443809518,52.1061086937765,"Highland","Alness"
"6",2.35943959861213,52.403678539629,"Forth Valley","Alva"
"7",0.444259669044091,52.7464477288964,"Dumfries and Galloway","Annan"
"8",2.01327270572486,51.9663564790146,"Greater Glasgow and Clyde","Ardoch"
"9",1.96671562938113,52.4752426960705,"Lothian","Armadale"
"10",4.08983136475539,52.3538788995936,"Highland","Aviemore"
"11",3.9132015795585,53.0897454960073,"Grampian","Banchory"
"12",4.93578816985614,53.0395339104293,"Grampian","Banff"
"13",1.98080155846786,52.4961156040447,"Lothian","Bathgate"
"14",1.49631052091285,52.5899569583744,"Lanarkshire","Biggar"
"15",1.91228668720412,52.5367010627535,"Lothian","Blackburn"
"16",1.93942036704892,52.4515516541187,"Lothian","Blackridge"
"17",1.57023598998173,52.3687597665389,"Lanarkshire","Blackwood"
"18",3.09443430910358,52.66238401272,"Tayside","Blairgowrie"
"19",2.14736808762827,52.5449384400956,"Forth Valley","Boness"
"20",2.12815338491145,52.378079153368,"Forth Valley","Bonnybridge"
"21",1.77914969566901,52.2653823262478,"Lanarkshire","Bothwellbank"
"22",2.5815958815558,52.7567594988591,"Fife","Bowhouse"
"23",4.90781274933872,52.7903070663357,"Grampian","Buckie"
"24",1.72566064814782,52.3352993992902,"Lanarkshire","Carbarns"
"25",1.61984986272059,53.3144872588127,"Borders","Coldstream"
"26",1.22076893782393,52.1567344303062,"Ayrshire and Arran","Cumnock"
"27",1.22076893782393,52.1567344303062,"Ayrshire and Arran","Cumnock - Netherwood"
"28",2.67551666781626,52.8543566536978,"Fife","Cupar"
"29",0.353761936019573,52.4246388155769,"Dumfries and Galloway","Dalbeattie"
"30",1.83557681797485,52.237936686038,"Greater Glasgow and Clyde","Daldowie"
"31",1.84160987436271,52.1856345001842,"Greater Glasgow and Clyde","Dalmarnock"
"32",1.95282158957825,52.0609142506388,"Greater Glasgow and Clyde","Dalmuir"
"33",1.95282158957825,52.0609142506388,"Greater Glasgow and Clyde","Dalmuir - Auchinairn (6298)"
"34",1.95282158957825,52.0609142506388,"Greater Glasgow and Clyde","Dalmuir - Auchinairn (6330)"
"35",1.95282158957825,52.0609142506388,"Greater Glasgow and Clyde","Dalmuir - Clydebank"
"36",1.95282158957825,52.0609142506388,"Greater Glasgow and Clyde","Dalmuir - Minerva St"
"37",1.95282158957825,52.0609142506388,"Greater Glasgow and Clyde","Dalmuir - SECC"
"38",0.628129894818965,52.5523232804803,"Dumfries and Galloway","Dalscone"
"39",2.15478926699569,52.3626147079891,"Forth Valley","Denny"
"40",2.14871488040562,53.1042401776515,"Lothian","Dunbar"
"41",2.41035196281717,52.3191427402491,"Forth Valley","Dunblane"
"42",2.16216781045153,52.6343419270724,"Fife","Dunfermline"
"43",2.0658865878726,52.331536321104,"Lanarkshire","Dunnswood"
"44",2.0658865878726,52.331536321104,"Lanarkshire","Dunnswood - Carrickstone"
"45",1.79416468008092,53.2541936332781,"Borders","Duns"
"46",1.95742400979677,52.6021973198607,"Lothian","East Calder"
"47",4.46044691088569,53.2913469266526,"Grampian","Ellon"
"48",1.92584208693018,52.0771334391691,"Greater Glasgow and Clyde","Erskine"
"49",1.95672664465101,53.3869531937226,"Borders","Eyemouth"
"50",1.71279053888686,51.826310284747,"Ayrshire and Arran","Fairlie"
"51",2.15072777790914,52.4378425211471,"Forth Valley","Falkirk"
"52",1.83179062147473,52.4819020249269,"Lothian","Fauldhouse"
"53",3.20616217378227,52.8813397642864,"Tayside","Forfar"
"54",3.20616217378227,52.8813397642864,"Tayside","Forfar - Central"
"55",4.76289861851303,52.4388360166453,"Grampian","Forres"
"56",3.42407764937115,51.6712003426292,"Highland","Fort William"
"57",5.00331748977412,53.2668760568712,"Grampian","Fraserburgh"
"58",1.50265781567089,53.0069430068856,"Borders","Galashiels"
"59",0.900044036883298,51.8340344362077,"Ayrshire and Arran","Girvan"
"60",4.28463512406833,52.4571055854043,"Highland","Grantown on Spey"
"61",2.75508723682336,52.9081699645709,"Fife","Guardbridge"
"62",2.08909855870025,53.0055829851902,"Lothian","Haddington"
"63",1.77424550427326,52.2784522220387,"Lanarkshire","Hamilton"
"64",1.89533671582028,52.4505569997167,"Lanarkshire","Harthill"
"65",3.03063931176288,53.033687526195,"Tayside","Hatton"
"66",3.03063931176288,53.033687526195,"Tayside","Hatton - Fintry East"
"67",3.03063931176288,53.033687526195,"Tayside","Hatton - Fintry North"
"68",3.03063931176288,53.033687526195,"Tayside","hatton - Fintry West"
"69",3.03063931176288,53.033687526195,"Tayside","Hatton - Fintry West"
"70",1.21129924278465,53.0149919215471,"Borders","Hawick"
"71",2.06848970004891,51.9166173081917,"Highland","Helensburgh"
"72",4.54807148490358,52.8982241179185,"Grampian","Huntly"
"73",1.99215433937486,51.813481857393,"Greater Glasgow and Clyde","Inverclyde"
"74",1.99215433937486,51.813481857393,"Greater Glasgow and Clyde","Inverclyde - Gourock"
"75",4.28461498649433,53.1340322413956,"Grampian","Inverurie"
"76",2.19486796441234,52.5780054410576,"Fife","Ironmill Bay"
"77",1.32569963226312,53.142782806252,"Borders","Jedburgh"
"78",1.5125994909004,53.2076180959258,"Borders","Kelso"
"79",2.22500388191896,52.4596763666198,"Fife","Kincardine"
"80",2.1396323372256,52.4903720970996,"Forth Valley","Kinneil"
"81",2.33107160324831,52.7769570453933,"Fife","Kirkcaldy"
"82",7.08601115834623,52.6759773763068,"Orkney","Kirkwall"
"83",1.58309176147282,52.4286532041531,"Lanarkshire","Lanark"
"84",0.733430296959976,52.8968109780455,"Dumfries and Galloway","Langholm"
"85",1.80523296147524,51.8118828797869,"Ayrshire and Arran","Largs"
"86",9.21771164851241,53.3891872984606,"Shetland","Lerwick"
"87",1.53643339353344,52.3792192376574,"Lanarkshire","Lesmahagow"
"88",2.46112487062774,52.8502662332397,"Fife","Levenmouth"
"89",2.09393390883436,52.5151925085753,"Lothian","Linlithgow"
"90",0.356536374252187,51.7003149969321,"Dumfries and Galloway","Loch Ryan"
"91",0.682602451476165,52.6804696976147,"Dumfries and Galloway","Lockerbie"
"92",4.92609407919511,52.6207222106326,"Grampian","Lossiemouth"
"93",1.67380230072398,52.3688426904716,"Lanarkshire","Mauldslie"
"94",1.03593999743712,51.938599570041,"Ayrshire and Arran","Maybole"
"95",1.43106269534319,51.9532565672865,"Ayrshire and Arran","Meadowhead"
"96",1.43106269534319,51.9532565672865,"Ayrshire and Arran","Meadowhead - Kilmarnock HMP"
"97",3.38506312840784,53.1265625607315,"Tayside","Montrose"
"98",1.31562921663417,52.2608605581006,"Ayrshire and Arran","Muirkirk"
"99",4.7115016328261,52.3136826011909,"Highland","Nairn"
"100",1.76071832270212,52.0692542881999,"Greater Glasgow and Clyde","Neilston"
"101",2.03573234157112,52.6423039143127,"Lothian","Newbridge"
"102",2.71936184985532,52.7227156892724,"Fife","Newburgh"
"103",1.13106021558176,52.2163087167449,"Ayrshire and Arran","New Cumnock"
"104",2.89062353164755,52.8896868191336,"Fife","Newport & Tayport"
"105",1.45869817661424,53.0703177437557,"Borders","Newtown St Boswell"
"106",4.07381642852739,53.3093754543973,"Grampian","Nigg"
"107",4.07381642852739,53.3093754543973,"Grampian","Nigg - Aberdeen RI"
"108",4.07381642852739,53.3093754543973,"Grampian","Nigg - Torry"
"109",1.87326856683007,52.0715384701322,"Greater Glasgow and Clyde","Paisley"
"110",1.87326856683007,52.0715384701322,"Greater Glasgow and Clyde","Paisley - Airport"
"111",1.87326856683007,52.0715384701322,"Greater Glasgow and Clyde","Paisley - Blackhall"
"112",1.87326856683007,52.0715384701322,"Greater Glasgow and Clyde","Paisley - Brediland"
"113",1.55687001640419,52.7871055964973,"Borders","Peebles"
"114",1.86514534259582,52.7565282836542,"Lothian","Penicuik"
"115",4.14386699041828,53.2539301721387,"Grampian","Persley"
"116",4.14386699041828,53.2539301721387,"Grampian","Persley - Northfield"
"117",2.75913164060283,52.6339823005574,"Tayside","Perth"
"118",4.68672110718038,53.4232031536541,"Grampian","Peterhead"
"119",1.74393689728834,52.1813098373779,"Lanarkshire","Philipshill"
"120",1.74393689728834,52.1813098373779,"Lanarkshire","Philipshill - Hairmyres Hospital"
"121",1.74393689728834,52.1813098373779,"Lanarkshire","Philipshill - Stewartfield (3606)"
"122",1.74393689728834,52.1813098373779,"Lanarkshire","Philipshill - Stewartfield (7801)"
"123",1.06946389212603,52.3620756800796,"Dumfries and Galloway","Sanquhar"
"124",2.0909058302726,52.7844437010613,"Lothian","Seafield"
"125",2.0909058302726,52.7844437010613,"Lothian","Seafield - Cockenzie"
"126",2.0909058302726,52.7844437010613,"Lothian","Seafield - Craigmillar"
"127",2.0909058302726,52.7844437010613,"Lothian","Seafield - Muirhouse"
"128",2.0909058302726,52.7844437010613,"Lothian","Seafield - Restalrig"
"129",2.0909058302726,52.7844437010613,"Lothian","Seafield - Tranent"
"130",2.0909058302726,52.7844437010613,"Lothian","Seafield - Western General"
"131",1.42091067656538,52.9751061983488,"Borders","Selkirk"
"132",1.88209258917628,52.114473162238,"Greater Glasgow and Clyde","Shieldhall"
"133",1.88209258917628,52.114473162238,"Greater Glasgow and Clyde","Shieldhall - Barrhead"
"134",1.88209258917628,52.114473162238,"Greater Glasgow and Clyde","Shieldhall - Gorbals"
"135",1.88209258917628,52.114473162238,"Greater Glasgow and Clyde","Shieldhall - Govanhill"
"136",1.88209258917628,52.114473162238,"Greater Glasgow and Clyde","Shieldhall - IMAX"
"137",1.88209258917628,52.114473162238,"Greater Glasgow and Clyde","Shieldhall - Pollockshields West"
"138",1.88209258917628,52.114473162238,"Greater Glasgow and Clyde","Shieldhall - Science Centre"
"139",1.81379856504116,52.4158297586497,"Lanarkshire","Shotts"
"140",1.69654882284653,52.3340913753728,"Lanarkshire","Skellyton"
"141",2.62431930055842,52.8210040093997,"Fife","Springfield"
"142",2.69940001364024,52.9838755914741,"Fife","St Andrews"
"143",2.69940001364024,52.9838755914741,"Fife","St Andrews - University (2979)"
"144",2.69940001364024,52.9838755914741,"Fife","St Andrews - University (4964)"
"145",1.49122441033816,51.895052078958,"Ayrshire and Arran","Stevenston"
"146",1.49122441033816,51.895052078958,"Ayrshire and Arran","Stevenston - Stevenston East"
"147",1.49122441033816,51.895052078958,"Ayrshire and Arran","Stevenston - Stevenston West"
"148",2.30808938225219,52.3462311658438,"Forth Valley","Stirling"
"149",2.30808938225219,52.3462311658438,"Forth Valley","Stirling - University"
"150",1.62534969174538,52.3296836025232,"Lanarkshire","Stonehouse"
"151",5.55969261761106,50.9544786271157,"Western Isles","Stornoway"
"152",1.58033099883802,52.2795535143328,"Lanarkshire","Strathaven"
"153",1.78244502595058,52.363080892941,"Lanarkshire","Swinstie"
"154",6.38022051341028,52.4182998518473,"Highland","Thurso"
"155",2.36187506563796,52.4423933427822,"Forth Valley","Tillicoultry"
"156",0.572607812057571,52.5441770968605,"Dumfries and Galloway","Troqueer"
"157",4.720441447274,53.0511802302654,"Grampian","Turriff"
"158",1.71860275219913,52.0277653698606,"Greater Glasgow and Clyde","Uplawmoor"
"159",1.90851268496592,52.4870603400698,"Lothian","Whitburn"
"160",6.15164786849491,52.6604145782271,"Highland","Wick"
"161",2.05376378755415,52.6112892698162,"Lothian","Winchburgh"
